DATE,CSUSHPISA
2006-01-01,182.325
2006-02-01,183.292
2006-03-01,184.372
2006-04-01,184.335
2006-05-01,184.162
2006-06-01,183.514
2006-07-01,183.06900000000002
2006-08-01,182.606
2006-09-01,182.808
2006-10-01,183.208
2006-11-01,183.61599999999999
2006-12-01,184.144
2007-01-01,184.523
2007-02-01,184.602
2007-03-01,184.15900000000002
2007-04-01,183.019
2007-05-01,181.611
2007-06-01,180.263
2007-07-01,179.105
2007-08-01,178.13
2007-09-01,177.56900000000002
2007-10-01,176.636
2007-11-01,175.158
2007-12-01,174.35
2008-01-01,173.14
2008-02-01,171.54
2008-03-01,170.06900000000002
2008-04-01,168.34599999999998
2008-05-01,166.67
2008-06-01,165.03099999999998
2008-07-01,163.554
2008-08-01,162.007
2008-09-01,160.32299999999998
2008-10-01,158.336
2008-11-01,156.148
2008-12-01,153.625
2009-01-01,151.523
2009-02-01,150.01
2009-03-01,148.684
2009-04-01,147.96
2009-05-01,147.70600000000002
2009-06-01,148.101
2009-07-01,148.384
2009-08-01,148.285
2009-09-01,148.031
2009-10-01,147.856
2009-11-01,148.142
2009-12-01,147.94
2010-01-01,147.409
2010-02-01,145.614
2010-03-01,145.878
2010-04-01,146.399
2010-05-01,146.388
2010-06-01,145.714
2010-07-01,144.944
