DATE,SPCS20RPSNSA
2006-01-01,125286
2006-02-01,111890
2006-03-01,112609
2006-04-01,120659
2006-05-01,139293
2006-06-01,149866
2006-07-01,155827
2006-08-01,154134
2006-09-01,139104
2006-10-01,131550
2006-11-01,119093
2006-12-01,113372
2007-01-01,103883
2007-02-01,95847
2007-03-01,97341
2007-04-01,100334
2007-05-01,111420
2007-06-01,115492
2007-07-01,120100
2007-08-01,119970
2007-09-01,106051
2007-10-01,93938
2007-11-01,77518
2007-12-01,72062
2008-01-01,63340
2008-02-01,58810
2008-03-01,59843
2008-04-01,67549
2008-05-01,78031
2008-06-01,87398
2008-07-01,95594
2008-08-01,98122
2008-09-01,96276
2008-10-01,91098
2008-11-01,79649
2008-12-01,72964
2009-01-01,60884
2009-02-01,58571
2009-03-01,59041
2009-04-01,66930
2009-05-01,76049
2009-06-01,84761
2009-07-01,94819
2009-08-01,100020
2009-09-01,97760
2009-10-01,93178
2009-11-01,89157
2009-12-01,87548
2010-01-01,76091
2010-02-01,64778
2010-03-01,63241
2010-04-01,73478
2010-05-01,88513
2010-06-01,96982
2010-07-01,95506
